SLC24A1	AR
ALG6	AR
WDR62	AR
GFM1	AR
GLUD1	AD
XPR1	AD
PPA2	AR
RAB3GAP2	AR
UBA1	XLR
SLC1A1	AR
RASA1	AD
ZMYND15	AR
SPLRTN	AR
PHF6	XLR
RP9	AD
CCDC50	AD
WDR45	XLD
LHX3	AR
ACAVLD	AR
SIX3	AD
PPKP3	AD
EGR2	AR,AD
TTI2	AR
GABRB3	AD
B3GLCT	AR
SPDA2	AD
SOX2	AD
EPS8L2	AR
PAND1	AD
GLIS3	AR
MYH9	AD
MRX73	XLR
PDGFRB	AD
SMAD9	AD
HYT4	U
NCF4	AR
POLH	AR
DOK7	AR
EOS	AD
EYA1	AD
GSN	AD
ACTN1	AD
RIPK1	AR
USP9X	XLR,XLD
SDHA	AD,AR
ELP2	AR
IGHR	AD
NQO2	AD
EXOSC2	AR
MUSK	AR
NMLFS	AD
OPA2	XL
SELENBP1	AR
LPAR6	AR
ABCB6	AD
PHKG2	AR
SERPING1	AD
IBD11	U
PDZD7	AR
DFNB71	AR
TNIK	AR
IFT81	AR
NPHP1	AR
EFHC1	AD
COX14	AR
BMP1	AR
ZNF687	AD
MUTYH	AR
SDHAF1	AR
NUS1	AD,AR
KNL1	AR
MYMY4	XLR
EPG5	AR
DFNA31	AD
LIPT1	AR
CYP2A6	AD
HIST1H1E	AD
GNE	AD,AR
MBOAT7	AR
SNRPB	AD
ERBB2	AD
LRRK2	AD
EDN1	AR,AD
CCDC115	AR
YWHAE	AD
ROM1	AD
CR2	AR
DCTN1	AD
POC1B	AR
TPP1	AR
UQCRB	AR
RNASET2	AR
TPRN	AR
ITPR2	AR
TRPM7	AD
YARS2	AR
GREB1L	AD
PAPA2	AD
PCDH15	AR
CPAT1	AR
MTND4L	U
GJB2	AD,AR
HLA-DQB1	AR,AD
TRAIP	AR
LAMA3	AR
SERPINE1	AR
PHC1	AR
AHCY	AR
FH	AR,AD
VPS53	AR
CARS2	AR
PLOD2	AR
LRTOMT	AR
HFE2	AR
SURF1	AR
DNAAF1	AR
CFAP300	AR
ZMYND11	AD
PER3	AD
TNXB	AD,AR
CYB5R3	AR
HLCS	AR
CEP78	AR
FAH	AR
HEY	U
ADRB2	AD
ANOP1	XLR
THAS	XL
CTSA	AR
SLC2A1	AD
TLR2	AD
ALDH5A1	AR
HOXC13	AR
BMND7	AD
TNFSF5	XLR
NLGN4	XL
ATRX	XLR,XLD
TGFBR1	AD
DHH	AR
NCAPD3	AR
DNMT3A	AD
AFG3L2	AR,AD
SCN8A	AD
PPCS	AR
ATP2B3	XLR
CDC42	AD
MEGF8	AR
RPS19	AD
MLPH	AR
NUP93	AR
TARDBP	AD
CALM1	AD
SAMD9L	AD
MAMLD1	XLR
NT5C2	AR
MSX1	AD
FAM189A2	AD
MAGED2	XLR
WDR73	AR
OTULIN	AR
MTATP6	AR
SCO1	AR
GLE1	AR
RETN	AD
RP1L1	AD
TIMM50	AR
ARHGEF2	AR
TCF2	AD
VAX1	AR
CENPF	AR
FLI1	AD
PHKB	AR
ABCD3	AR
ADCK3	AR
IKBKG	XLR,XLD
MSH5	AR
NUP107	AR
ALG14	AR
MIR96	AD
HMSN5	AD
GATM	AR
PCNA	AR
IGF1R	AD
NYS3	AD
AAAS	AR
MOGS	AR
RAB7A	AD
KCND3	AD
VIPAS39	AR
B4GALNT1	AR
VKORC1	AD
VPS13B	AR
AMBN	AR
HFE	AD,AR
PAK1	AD
DFNB20	AR
AT3	AD
POP1	AR
OPA6	AR
F9	XLR,AD
COL4A4	AR,AD
COL5A2	AD
EIF4G1	AD
OGDH	AR
PXDN	AR
